date_utc,dimension,value,visitors,pageviews
2026-08-23,route,/,2,2
2026-08-23,route,/portfolio,1,1
2026-08-23,referrerHostname,(directo/desconocido),2,3
2026-08-23,country,CN,1,1
2026-08-23,country,ES,1,2
2026-08-23,deviceType,desktop,1,2
2026-08-23,deviceType,mobile,1,1
2026-08-23,route,/,2,2
2026-08-23,route,/portfolio,1,1
2026-08-23,referrerHostname,(directo/desconocido),2,3
2026-08-23,country,CN,1,1
2026-08-23,country,ES,1,2
2026-08-23,deviceType,desktop,1,2
2026-08-23,deviceType,mobile,1,1
2026-08-24,route,/servicios,6,7
2026-08-24,route,/,2,3
2026-08-24,route,/como-trabajo,1,1
2026-08-24,route,/contacto,1,1
2026-08-24,route,/portfolio,1,1
2026-08-24,route,/sobre-mi,1,1
2026-08-24,referrerHostname,(directo/desconocido),2,10
2026-08-24,referrerHostname,m.facebook.com,2,2
2026-08-24,referrerHostname,facebook.com,1,1
2026-08-24,referrerHostname,l.instagram.com,1,1
2026-08-24,country,ES,3,11
2026-08-24,country,US,3,3
2026-08-24,deviceType,mobile,4,4
2026-08-24,deviceType,desktop,2,10
2026-08-25,route,/,3,5
2026-08-25,route,/servicios,2,3
2026-08-25,route,/contacto,1,1
2026-08-25,route,/portfolio,1,2
2026-08-25,referrerHostname,(directo/desconocido),2,8
2026-08-25,referrerHostname,google.com,2,3
2026-08-25,country,ES,3,11
2026-08-25,deviceType,mobile,3,11
2026-08-26,route,/servicios,3,3
2026-08-26,route,/,2,2
2026-08-26,route,/contacto,1,1
2026-08-26,referrerHostname,(directo/desconocido),3,4
2026-08-26,referrerHostname,l.instagram.com,2,2
2026-08-26,country,ES,4,6
2026-08-26,deviceType,desktop,2,3
2026-08-26,deviceType,mobile,2,3
2026-08-27,route,/portfolio,3,8
2026-08-27,route,/,2,3
2026-08-27,route,/servicios,1,2
2026-08-27,referrerHostname,(directo/desconocido),3,13
2026-08-27,country,ES,3,13
2026-08-27,deviceType,mobile,2,8
2026-08-27,deviceType,desktop,1,5
2026-08-28,route,/,1,1
2026-08-28,route,/portfolio,1,2
2026-08-28,referrerHostname,(directo/desconocido),2,3
2026-08-28,country,ES,2,3
2026-08-28,deviceType,desktop,1,1
2026-08-28,deviceType,mobile,1,2
2026-08-29,route,/,2,2
2026-08-29,route,/como-trabajo,1,1
2026-08-29,route,/contacto,1,2
2026-08-29,route,/portfolio,1,1
2026-08-29,route,/servicios,1,4
2026-08-29,referrerHostname,(directo/desconocido),2,10
2026-08-29,country,ES,2,10
2026-08-29,deviceType,desktop,1,9
2026-08-29,deviceType,mobile,1,1
2026-08-30,route,/,3,4
2026-08-30,route,/contacto,3,7
2026-08-30,route,/como-trabajo,2,3
2026-08-30,route,/servicios,2,2
2026-08-30,route,/sobre-mi,2,3
2026-08-30,route,/portfolio,1,2
2026-08-30,referrerHostname,(directo/desconocido),3,21
2026-08-30,country,ES,3,21
2026-08-30,deviceType,mobile,2,11
2026-08-30,deviceType,desktop,1,10
2026-08-31,route,/,3,4
2026-08-31,route,/servicios,2,3
2026-08-31,route,/como-trabajo,1,1
2026-08-31,route,/contacto,1,1
2026-08-31,route,/portfolio,1,2
2026-08-31,route,/sobre-mi,1,1
2026-08-31,referrerHostname,(directo/desconocido),2,10
2026-08-31,referrerHostname,facebook.com,1,1
2026-08-31,referrerHostname,l.instagram.com,1,1
2026-08-31,country,ES,3,11
2026-08-31,country,US,1,1
2026-08-31,deviceType,desktop,3,11
2026-08-31,deviceType,mobile,1,1
2026-09-01,route,/servicios,6,10
2026-09-01,route,/,5,7
2026-09-01,route,/portfolio,1,1
2026-09-01,route,/sobre-mi,1,1
2026-09-01,referrerHostname,(directo/desconocido),4,14
2026-09-01,referrerHostname,l.instagram.com,4,4
2026-09-01,referrerHostname,l.threads.com,1,1
2026-09-01,country,ES,7,18
2026-09-01,country,US,1,1
2026-09-01,deviceType,desktop,4,11
2026-09-01,deviceType,mobile,4,8
2026-09-02,route,/servicios,4,4
2026-09-02,route,/,3,3
2026-09-02,route,/portfolio,1,1
2026-09-02,referrerHostname,(directo/desconocido),3,4
2026-09-02,referrerHostname,l.instagram.com,3,3
2026-09-02,referrerHostname,l.threads.com,1,1
2026-09-02,country,ES,4,6
2026-09-02,country,RU,1,1
2026-09-02,country,US,1,1
2026-09-02,deviceType,mobile,5,7
2026-09-02,deviceType,desktop,1,1
2026-09-03,route,/,11,30
2026-09-03,route,/portfolio,9,28
2026-09-03,route,/portfolio/[slug],4,6
2026-09-03,route,/como-trabajo,3,8
2026-09-03,route,/servicios,3,15
2026-09-03,route,/contacto,2,9
2026-09-03,route,/sobre-mi,2,5
2026-09-03,referrerHostname,(directo/desconocido),9,94
2026-09-03,referrerHostname,l.threads.com,3,3
2026-09-03,referrerHostname,facebook.com,2,3
2026-09-03,referrerHostname,l.instagram.com,1,1
2026-09-03,country,ES,10,98
2026-09-03,country,US,2,3
2026-09-03,deviceType,mobile,8,32
2026-09-03,deviceType,desktop,4,69
2026-09-04,route,/portfolio,4,15
2026-09-04,route,/,3,7
2026-09-04,route,/como-trabajo,3,4
2026-09-04,route,/contacto,3,5
2026-09-04,route,/portfolio/[slug],3,6
2026-09-04,route,/servicios,3,11
2026-09-04,route,/sobre-mi,1,2
2026-09-04,referrerHostname,(directo/desconocido),5,49
2026-09-04,referrerHostname,litmind.es,1,1
2026-09-04,country,ES,5,50
2026-09-04,deviceType,desktop,3,37
2026-09-04,deviceType,mobile,2,13
2026-09-05,route,/servicios,1,1
2026-09-05,referrerHostname,l.instagram.com,1,1
2026-09-05,country,ES,1,1
2026-09-05,deviceType,mobile,1,1
2026-09-07,route,/,2,3
2026-09-07,referrerHostname,l.instagram.com,1,1
2026-09-07,referrerHostname,m.facebook.com,1,2
2026-09-07,country,ES,1,1
2026-09-07,country,SE,1,2
2026-09-07,deviceType,mobile,2,3
2026-09-08,route,/,6,18
2026-09-08,route,/portfolio,6,33
2026-09-08,route,/portfolio/[slug],5,20
2026-09-08,route,/servicios,3,3
2026-09-08,route,/como-trabajo,1,1
2026-09-08,route,/contacto,1,1
2026-09-08,referrerHostname,(directo/desconocido),5,70
2026-09-08,referrerHostname,l.instagram.com,3,3
2026-09-08,referrerHostname,instagram.com,2,2
2026-09-08,referrerHostname,m.facebook.com,1,1
2026-09-08,country,ES,8,75
2026-09-08,country,US,1,1
2026-09-08,deviceType,mobile,7,42
2026-09-08,deviceType,desktop,2,34
2026-09-09,route,/portfolio/[slug],6,13
2026-09-09,route,/portfolio,4,17
2026-09-09,route,/servicios,4,6
2026-09-09,route,/,3,9
2026-09-09,route,/sobre-mi,2,3
2026-09-09,route,/como-trabajo,1,1
2026-09-09,route,/contacto,1,1
2026-09-09,referrerHostname,(directo/desconocido),7,47
2026-09-09,referrerHostname,l.instagram.com,1,3
2026-09-09,country,ES,6,49
2026-09-09,country,CN,1,1
2026-09-09,deviceType,mobile,5,25
2026-09-09,deviceType,desktop,2,25
2026-09-10,route,/,2,2
2026-09-10,route,/como-trabajo,1,6
2026-09-10,route,/contacto,1,1
2026-09-10,route,/portfolio,1,2
2026-09-10,route,/portfolio/[slug],1,1
2026-09-10,referrerHostname,(directo/desconocido),2,12
2026-09-10,country,ES,2,12
2026-09-10,deviceType,desktop,2,12
2026-09-11,route,/servicios,6,6
2026-09-11,route,/portfolio,3,4
2026-09-11,route,/,2,6
2026-09-11,route,/como-trabajo,2,2
2026-09-11,route,/sobre-mi,2,2
2026-09-11,route,/contacto,1,1
2026-09-11,referrerHostname,l.instagram.com,5,5
2026-09-11,referrerHostname,(directo/desconocido),3,16
2026-09-11,country,ES,5,20
2026-09-11,country,FR,1,1
2026-09-11,deviceType,mobile,5,14
2026-09-11,deviceType,desktop,1,7
